Timestamp for sample frequency every 15 min,Temperature_Fahrenheit,Relative_Humidity
2018-10-31 07:56:00,67.8254,23.6936
2018-10-31 08:11:00,67.4972,24.2734
2018-10-31 08:26:00,67.5551,24.6396
2018-10-31 08:41:00,67.4972,25.3721
2018-10-31 08:56:00,67.5938,26.1350
2018-10-31 09:11:00,67.7868,26.6538
2018-10-31 09:26:00,68.6169,26.7454
2018-10-31 09:41:00,67.1497,28.4238
2018-10-31 09:56:00,67.1304,27.1421
2018-10-31 10:11:00,67.2270,28.5764
2018-10-31 10:26:00,67.2463,28.1187
2018-10-31 10:41:00,67.4393,28.2102
2018-10-31 10:56:00,66.7057,28.6680
2018-10-31 11:11:00,68.1150,27.3862
2018-10-31 11:26:00,68.1536,26.8979
2018-10-31 11:41:00,68.1536,26.7454
2018-10-31 11:56:00,67.5938,27.2031
2018-10-31 12:11:00,67.7868,26.9590
2018-10-31 12:26:00,67.8061,26.6233
2018-10-31 12:41:00,67.5938,26.3181
2018-10-31 12:56:00,67.9605,26.6538
2018-10-31 13:11:00,67.8061,27.1116
2018-10-31 13:26:00,67.9605,26.9590
2018-10-31 13:41:00,68.6748,26.3486
2018-10-31 13:56:00,68.4239,26.6843
2018-10-31 14:11:00,67.5744,27.4778
2018-10-31 14:26:00,67.8447,27.3557
2018-10-31 14:41:00,67.5551,27.8135
2018-10-31 14:56:00,67.4200,28.1492
2018-10-31 15:11:00,67.3428,28.3628
2018-10-31 15:26:00,67.4586,28.7290
2018-10-31 15:41:00,67.1304,29.3088
2018-10-31 15:56:00,67.3042,29.7666
2018-10-31 16:11:00,67.4200,30.4380
2018-10-31 16:26:00,66.9760,31.6892
2018-10-31 16:41:00,67.1304,32.5742
2018-10-31 16:56:00,67.8254,34.5273
2018-10-31 17:11:00,67.8061,36.1448
2018-10-31 17:26:00,67.9219,37.3350
2018-10-31 17:41:00,67.7289,40.0815
2018-10-31 17:56:00,67.9605,36.5415
2018-10-31 18:11:00,68.1343,37.1213
2018-10-31 18:26:00,68.3080,38.0063
2018-10-31 18:41:00,68.7907,41.3022
2018-10-31 18:56:00,68.4046,43.1638
2018-10-31 19:11:00,68.1536,40.6003
2018-10-31 19:26:00,68.3080,41.0581
2018-10-31 19:41:00,68.3660,47.1616
2018-10-31 19:56:00,67.6324,42.1262
2018-10-31 20:11:00,68.6169,49.6641
2018-10-31 20:26:00,68.0378,42.4314
2018-10-31 20:41:00,68.2115,49.6641
2018-10-31 20:56:00,68.3080,44.6592
2018-10-31 21:11:00,68.4625,42.1262
2018-10-31 21:26:00,68.5976,51.3120
2018-10-31 21:41:00,68.1922,44.5066
2018-10-31 21:56:00,68.7521,51.8613
2018-10-31 22:11:00,68.3273,43.6521
2018-10-31 22:26:00,68.4625,46.7954
2018-10-31 22:41:00,68.6169,46.9175
2018-10-31 22:56:00,68.4046,42.6450
2018-10-31 23:11:00,68.8100,52.8074
2018-10-31 23:26:00,68.2308,43.3164
2018-10-31 23:41:00,68.8293,52.8989
2018-10-31 23:56:00,68.1536,44.3235
2018-11-01 00:11:00,68.9065,52.5022
2018-11-01 00:26:00,68.4046,44.7812
2018-11-01 00:41:00,68.7521,52.8684
2018-11-01 00:56:00,68.4818,44.3235
2018-11-01 01:11:00,68.6362,53.3567
2018-11-01 01:26:00,68.3080,44.5676
2018-11-01 01:41:00,68.5590,51.3120
2018-11-01 01:56:00,68.4046,46.8870
2018-11-01 02:11:00,68.5397,43.2859
2018-11-01 02:26:00,68.9065,48.6265
2018-11-01 02:41:00,68.8679,46.8259
2018-11-01 02:56:00,68.5783,43.2249
2018-11-01 03:11:00,69.2347,45.1169
2018-11-01 03:26:00,68.9065,48.5349
2018-11-01 03:41:00,68.8100,43.4385
2018-11-01 03:56:00,68.9644,52.2581
2018-11-01 04:11:00,68.5204,46.9480
2018-11-01 04:26:00,68.5397,51.1899
2018-11-01 04:41:00,68.4818,46.8870
2018-11-01 04:56:00,68.6748,42.9807
2018-11-01 05:11:00,68.9837,49.4504
2018-11-01 05:26:00,68.0185,44.0183
2018-11-01 05:41:00,68.6748,42.0042
2018-11-01 05:56:00,68.8293,54.5469
2018-11-01 06:11:00,68.4046,44.5066
2018-11-01 06:26:00,67.7675,44.1404
2018-11-01 06:41:00,67.6517,43.8657
2018-11-01 06:56:00,67.7675,43.3774
2018-11-01 07:11:00,67.7675,43.0723
2018-11-01 07:26:00,67.7675,42.8586
2018-11-01 07:41:00,67.4779,43.1028
2018-11-01 07:56:00,67.7096,42.6145
2018-11-01 08:11:00,67.6517,42.7366
2018-11-01 08:26:00,67.5165,43.1943
2018-11-01 08:41:00,67.5165,43.4690
2018-11-01 08:56:00,67.5358,43.6216
2018-11-01 09:11:00,67.9992,43.4080
2018-11-01 09:26:00,67.9605,44.6897
2018-11-01 09:41:00,67.7868,45.5137
2018-11-01 09:56:00,67.6710,45.9714
