Timestamp for sample frequency every 15 min,Temperature_Fahrenheit,Relative_Humidity
2018-11-15 19:43:00,71.4548,17.1323
2018-11-15 19:58:00,71.5320,18.1089
2018-11-15 20:13:00,71.0687,18.9634
2018-11-15 20:28:00,71.4934,19.1770
2018-11-15 20:43:00,71.6092,19.2380
2018-11-15 20:58:00,71.7444,19.4517
2018-11-15 21:13:00,71.7058,19.8484
2018-11-15 21:28:00,71.6478,20.3977
2018-11-15 21:43:00,71.7058,20.7639
2018-11-15 21:58:00,71.6671,21.2522
2018-11-15 22:13:00,71.6478,21.5879
2018-11-15 22:28:00,71.8216,21.6794
2018-11-15 22:43:00,71.6285,21.9846
2018-11-15 22:58:00,71.4934,22.1372
2018-11-15 23:13:00,71.8409,22.0762
2018-11-15 23:28:00,71.7058,22.3813
2018-11-15 23:43:00,71.6671,22.4119
2018-11-15 23:58:00,71.7251,22.5034
2018-11-16 00:13:00,71.3583,22.6560
2018-11-16 00:28:00,71.5513,22.6865
2018-11-16 00:43:00,71.2617,22.8391
2018-11-16 00:58:00,71.6671,22.7476
2018-11-16 01:13:00,71.5320,22.7476
2018-11-16 01:28:00,71.4741,22.8086
2018-11-16 01:43:00,71.6092,22.8696
2018-11-16 01:58:00,71.5320,22.9612
2018-11-16 02:13:00,71.7058,23.1443
2018-11-16 02:28:00,71.6092,23.3579
2018-11-16 02:43:00,71.6671,23.6936
2018-11-16 02:58:00,71.4934,24.0293
2018-11-16 03:13:00,71.5320,24.4260
2018-11-16 03:28:00,71.6864,24.7922
2018-11-16 03:43:00,71.7637,24.9448
2018-11-16 03:58:00,71.5899,25.6162
2018-11-16 04:13:00,71.7637,25.9214
2018-11-16 04:28:00,71.6092,26.2876
2018-11-16 04:43:00,71.7637,26.5317
2018-11-16 04:58:00,71.7058,27.0505
2018-11-16 05:13:00,71.6285,27.4778
2018-11-16 05:28:00,71.4355,27.9355
2018-11-16 05:43:00,71.7637,28.0576
2018-11-16 05:58:00,71.7251,28.4543
2018-11-16 06:13:00,71.6478,28.8511
2018-11-16 06:28:00,71.7637,29.3394
2018-11-16 06:43:00,71.9567,29.4919
2018-11-16 06:58:00,72.0339,29.8276
2018-11-16 07:13:00,71.9181,30.1633
2018-11-16 07:28:00,72.0919,30.3464
2018-11-16 07:43:00,71.9374,30.9263
2018-11-16 07:58:00,71.7444,31.4146
2018-11-16 08:13:00,71.8795,31.8418
2018-11-16 08:28:00,71.8602,32.2385
2018-11-16 08:43:00,71.8023,32.5742
2018-11-16 08:58:00,71.9374,32.4521
2018-11-16 09:13:00,71.9374,31.5061
2018-11-16 09:28:00,71.7251,31.2314
2018-11-16 09:43:00,71.7444,31.5061
2018-11-16 09:58:00,71.8988,31.5061
2018-11-16 10:13:00,71.7830,31.5671
2018-11-16 10:28:00,71.7058,31.4451
2018-11-16 10:43:00,71.8023,29.7666
2018-11-16 10:58:00,70.9722,28.8511
2018-11-16 11:13:00,71.3583,27.0200
2018-11-16 11:28:00,71.1266,26.2266
2018-11-16 11:43:00,71.1266,25.5552
2018-11-16 11:58:00,71.1073,24.6396
2018-11-16 12:13:00,71.0301,24.2734
2018-11-16 12:28:00,70.7598,24.0293
2018-11-16 12:43:00,71.0301,23.9377
2018-11-16 12:58:00,71.3776,22.8391
2018-11-16 13:13:00,71.1266,22.9001
2018-11-16 13:28:00,71.3003,22.8086
2018-11-16 13:43:00,71.3196,22.8696
2018-11-16 13:58:00,71.1459,22.8696
2018-11-16 14:13:00,71.3003,22.8086
2018-11-16 14:28:00,71.3583,22.5645
2018-11-16 14:43:00,71.1266,22.7170
2018-11-16 14:58:00,71.1266,22.8391
2018-11-16 15:13:00,71.0687,22.7476
2018-11-16 15:28:00,71.1266,22.9307
2018-11-16 15:43:00,71.3196,22.9612
2018-11-16 15:58:00,71.2231,23.0222
2018-11-16 16:13:00,71.2424,22.7170
2018-11-16 16:28:00,71.3003,22.3813
2018-11-16 16:43:00,71.2038,22.2593
2018-11-16 16:58:00,71.2231,22.3813
2018-11-16 17:13:00,71.4741,21.9846
2018-11-16 17:28:00,71.5513,21.8625
2018-11-16 17:43:00,71.6671,21.7100
2018-11-16 17:58:00,71.4934,21.8015
2018-11-16 18:13:00,71.4548,21.6489
2018-11-16 18:28:00,71.6285,21.5269
2018-11-16 18:43:00,71.2231,21.7710
2018-11-16 18:58:00,71.3583,21.7405
2018-11-16 19:13:00,71.4934,21.6489
2018-11-16 19:28:00,71.3583,21.7405
2018-11-16 19:43:00,71.3969,21.8015
2018-11-16 19:58:00,71.1266,21.9236
2018-11-16 20:13:00,71.3776,21.7710
2018-11-16 20:28:00,71.3583,21.8931
2018-11-16 20:43:00,71.5513,21.7405
2018-11-16 20:58:00,71.6478,21.6794
2018-11-16 21:13:00,71.3583,21.8015
2018-11-16 21:28:00,71.3390,21.9236
2018-11-16 21:43:00,71.3390,22.0151
2018-11-16 21:58:00,71.4548,21.9236
2018-11-16 22:13:00,71.4934,21.8931
2018-11-16 22:28:00,71.3583,22.0151
2018-11-16 22:43:00,71.4548,21.8931
2018-11-16 22:58:00,71.3390,21.9846
2018-11-16 23:13:00,71.0880,22.0762
2018-11-16 23:28:00,71.1845,21.9846
2018-11-16 23:43:00,71.3003,21.9846
2018-11-16 23:58:00,71.2231,22.1067
2018-11-17 00:13:00,71.3583,22.1067
2018-11-17 00:28:00,71.3196,22.1982
2018-11-17 00:43:00,71.0494,22.4729
2018-11-17 00:58:00,71.0301,22.5950
2018-11-17 01:13:00,71.0687,22.5645
2018-11-17 01:28:00,71.1266,22.5034
2018-11-17 01:43:00,71.1652,22.4424
2018-11-17 01:58:00,71.1459,22.3508
2018-11-17 02:13:00,71.2231,22.2288
2018-11-17 02:28:00,71.3583,22.0457
2018-11-17 02:43:00,71.0687,22.1677
2018-11-17 02:58:00,71.3583,21.9236
2018-11-17 03:13:00,71.5127,21.7710
2018-11-17 03:28:00,71.1459,21.9846
2018-11-17 03:43:00,71.2617,21.8931
2018-11-17 03:58:00,71.1266,22.0457
2018-11-17 04:13:00,71.3390,22.0151
2018-11-17 04:28:00,71.3390,22.0151
2018-11-17 04:43:00,71.3583,22.1372
2018-11-17 04:58:00,71.2038,22.4424
2018-11-17 05:13:00,71.2231,22.5034
2018-11-17 05:28:00,71.4548,22.4729
2018-11-17 05:43:00,71.3583,22.5950
2018-11-17 05:58:00,71.4162,22.6560
2018-11-17 06:13:00,71.3969,22.6865
2018-11-17 06:28:00,71.4548,22.6865
2018-11-17 06:43:00,71.1266,22.8696
2018-11-17 06:58:00,71.3003,22.8086
2018-11-17 07:13:00,71.2617,22.8696
2018-11-17 07:28:00,71.3583,22.8696
2018-11-17 07:43:00,71.3583,22.8696
2018-11-17 07:58:00,71.3196,22.9307
