Timestamp for sample frequency every 15 min,Temperature_Fahrenheit,Relative_Humidity
2018-10-24 09:01:00,66.6671,37.4265
2018-10-24 09:16:00,66.8602,37.0603
2018-10-24 09:31:00,67.0146,36.6025
2018-10-24 09:46:00,66.9374,36.6331
2018-10-24 10:01:00,67.0725,36.6331
2018-10-24 10:16:00,67.1304,36.6636
2018-10-24 10:31:00,67.2656,36.6636
2018-10-24 10:46:00,67.4200,36.6636
2018-10-24 11:01:00,67.4586,38.5557
2018-10-24 11:16:00,67.5551,39.6238
2018-10-24 11:31:00,67.6324,38.9524
2018-10-24 11:46:00,67.6131,38.4641
2018-10-24 12:01:00,67.6131,39.0134
2018-10-24 12:16:00,67.5744,39.2271
2018-10-24 12:31:00,67.5938,38.6472
2018-10-24 12:46:00,67.5358,38.8914
2018-10-24 13:01:00,67.5358,39.1050
2018-10-24 13:16:00,67.4972,39.0745
2018-10-24 13:31:00,67.4200,38.8608
2018-10-24 13:46:00,67.4393,38.8303
2018-10-24 14:01:00,67.4200,38.5862
2018-10-24 14:16:00,67.4393,38.3420
2018-10-24 14:31:00,67.4393,38.2505
2018-10-24 14:46:00,67.4586,38.2810
2018-10-24 15:01:00,67.4200,37.7012
2018-10-24 15:16:00,67.7096,36.9382
2018-10-24 15:31:00,67.9605,36.0227
2018-10-24 15:46:00,68.2115,35.3818
2018-10-24 16:01:00,68.3080,35.0767
2018-10-24 16:16:00,68.2887,35.1072
2018-10-24 16:31:00,68.3466,35.5649
2018-10-24 16:46:00,68.4046,34.8936
2018-10-24 17:01:00,68.4432,34.3748
2018-10-24 17:16:00,68.4046,33.7034
2018-10-24 17:31:00,68.4818,33.4287
2018-10-24 17:46:00,68.4625,32.5742
2018-10-24 18:01:00,68.3660,31.9639
2018-10-24 18:16:00,68.2694,31.9639
2018-10-24 18:31:00,68.0957,32.0554
2018-10-24 18:46:00,68.0571,31.6587
2018-10-24 19:01:00,67.8833,31.4756
2018-10-24 19:16:00,67.7675,31.2620
2018-10-24 19:31:00,67.6324,30.9263
2018-10-24 19:46:00,67.6324,30.6821
2018-10-24 20:01:00,67.5358,30.8042
2018-10-24 20:16:00,67.2849,31.1704
2018-10-24 20:31:00,67.2076,31.4146
2018-10-24 20:46:00,67.2270,31.3840
2018-10-24 21:01:00,67.1497,31.2620
2018-10-24 21:16:00,67.1690,31.0178
2018-10-24 21:31:00,67.1304,30.8042
2018-10-24 21:46:00,67.0918,30.6516
2018-10-24 22:01:00,67.0918,30.8652
2018-10-24 22:16:00,67.3042,30.2549
2018-10-24 22:31:00,67.2270,29.8887
2018-10-24 22:46:00,67.2270,29.6140
2018-10-24 23:01:00,67.1883,29.4309
2018-10-24 23:16:00,67.0918,29.4309
2018-10-24 23:31:00,67.3428,29.3088
2018-10-24 23:46:00,67.3042,28.9731
2018-10-25 00:01:00,67.2076,28.6985
2018-10-25 00:16:00,67.2463,28.4849
2018-10-25 00:31:00,67.2849,28.1187
2018-10-25 00:46:00,67.1304,28.2407
2018-10-25 01:01:00,67.3235,28.4238
2018-10-25 01:16:00,67.2656,28.3628
2018-10-25 01:31:00,67.2463,28.2407
2018-10-25 01:46:00,67.3621,28.2102
2018-10-25 02:01:00,67.3042,28.2102
2018-10-25 02:16:00,67.2270,28.2407
2018-10-25 02:31:00,67.1304,28.3628
2018-10-25 02:46:00,67.3042,27.6914
2018-10-25 03:01:00,67.4393,27.5388
2018-10-25 03:16:00,67.3814,27.5388
2018-10-25 03:31:00,67.2463,27.3252
2018-10-25 03:46:00,67.3235,27.5693
2018-10-25 04:01:00,67.3428,27.1116
2018-10-25 04:16:00,67.2076,26.9895
2018-10-25 04:31:00,67.1304,26.9285
2018-10-25 04:46:00,67.0918,26.7759
2018-10-25 05:01:00,67.0339,26.7759
2018-10-25 05:16:00,67.0918,26.7454
2018-10-25 05:31:00,67.1304,26.7148
2018-10-25 05:46:00,67.1304,26.7148
2018-10-25 06:01:00,67.0532,26.6233
2018-10-25 06:16:00,67.2463,26.5012
2018-10-25 06:31:00,67.1883,26.3181
2018-10-25 06:46:00,67.1497,26.2876
2018-10-25 07:01:00,67.0918,26.2876
2018-10-25 07:16:00,67.0146,26.6538
2018-10-25 07:31:00,66.9567,26.9590
2018-10-25 07:46:00,67.0918,27.3862
2018-10-25 08:01:00,67.1304,27.7524
2018-10-25 08:16:00,67.1497,28.1187
2018-10-25 08:31:00,67.0918,28.5154
2018-10-25 08:46:00,67.1690,29.0952
2018-10-25 09:01:00,66.9953,29.8887
2018-10-25 09:16:00,65.8949,31.1704
2018-10-25 09:31:00,65.4509,32.0859
2018-10-25 09:46:00,65.5281,30.7126
2018-10-25 10:01:00,65.5860,29.1257
2018-10-25 10:16:00,65.6825,28.1797
2018-10-25 10:31:00,66.5320,26.7148
2018-10-25 10:46:00,67.3814,26.1045
2018-10-25 11:01:00,67.5165,25.9824
2018-10-25 11:16:00,67.6710,24.6702
2018-10-25 11:31:00,67.7482,24.8838
2018-10-25 11:46:00,67.5358,25.6162
2018-10-25 12:01:00,67.5358,25.7688
2018-10-25 12:16:00,67.5551,24.9753
2018-10-25 12:31:00,67.5744,25.2195
2018-10-25 12:46:00,67.5938,25.2500
2018-10-25 13:01:00,67.7482,25.0059
2018-10-25 13:16:00,67.7289,24.8838
2018-10-25 13:31:00,67.6903,24.7617
2018-10-25 13:46:00,67.2849,25.1279
2018-10-25 14:01:00,67.4779,24.7007
2018-10-25 14:16:00,67.1883,25.0059
2018-10-25 14:31:00,67.2270,24.8533
2018-10-25 14:46:00,67.2656,24.7312
2018-10-25 15:01:00,66.9760,25.1279
2018-10-25 15:16:00,67.6324,23.5105
2018-10-25 15:31:00,68.0378,22.6560
2018-10-25 15:46:00,68.3660,21.8015
2018-10-25 16:01:00,68.5397,21.3743
2018-10-25 16:16:00,68.6362,21.0081
2018-10-25 16:31:00,68.7135,20.8250
2018-10-25 16:46:00,68.7328,20.8250
2018-10-25 17:01:00,68.6362,20.8250
2018-10-25 17:16:00,68.7521,20.2146
2018-10-25 17:31:00,68.2115,20.4282
2018-10-25 17:46:00,67.8254,20.5503
2018-10-25 18:01:00,67.5551,20.7334
2018-10-25 18:16:00,67.3621,20.9775
2018-10-25 18:31:00,68.0378,21.2827
2018-10-25 18:46:00,70.5088,20.3977
2018-10-25 19:01:00,71.8216,19.2991
2018-10-25 19:16:00,71.2617,19.2075
2018-10-25 19:31:00,70.9142,19.1770
2018-10-25 19:46:00,70.5861,19.2991
